relative_path	source_exists	source_chars	source_sha256	cleaned_chars	cleaned_sha256	lines	alpha_ratio	bad_chars
Ленин/pss/том 33.txt	1	762284	0b6711a46290a91051fd3bfb850a2995fdd8961bbd332374370fe59ecfa7678d	750860	65292073d57dce0e69e1642b9ec6e4d42c00cf8493aebf8bbfa2654a44cef87d	6788	0.7745	0
Ленин/pss/том 34.txt	1	1072018	169d955bcb68905d2842ce8155c521ba4e721879e0f5c1c002cd3bf3a5298bf8	1067517	f1ca37f0a65006c5c51643be4cb86ef910d955326e60b001a03f5ab9630787a8	5387	0.7999	0
Ленин/pss/том 35.txt	1	969416	ffd3a26767e09cdabb5c3a811cf3505f0c75e743737060abff8424ecef3517b8	965781	f73608938188415275b713f6dd36d753a1e38e15b9ff6cd06453a3ef8f99183b	6426	0.8018	0
Ленин/pss/том 36.txt	1	1300235	992be08e2efc79ddf5cba58886b4e87a3cb52064a978301acf92b91cfae1bf7e	1295790	c4ecf509159351bf823302ee7650055e321e82b494ed3fa72dcd010fe0648b69	6182	0.8094	0
Ленин/pss/том 37.txt	1	1371376	db5c7bd54373b3417a7148b47a9aa20b6b58d3f720ae80c36865704411e99cbf	1366653	95e6c5d5ca0e6d7ce9586ac413dafecdecc0022c1e74319c740bc03659a3c727	6689	0.8105	0
Ленин/pss/том 38.txt	1	1034317	7250a1ae8eae9a07c7131ece3fde46ec3e54fa71dddf36d10a032f9c90ae54d4	1031819	d3a6f0aebfe77af104d3b420a7fa7dccb45c889ba29a6352b77db096cdf8678e	4761	0.8149	0
Ленин/pss/том 39.txt	1	1119983	8397b7c160855d341df57c099b33e0c16458d4472dbea962e0c50ce8efa5a89b	1116546	2b766a4419ea1d458475cba1f8d56a9166c8b1f9a2200d84fb5f779da9b8306a	5509	0.8059	0
Ленин/pss/том 4.txt	1	1070338	e41fef9918c6416ab7b2febe51a7026878bdfd6ee7a0d37368cd8c754f0df60f	1065036	4a1d6a4091254cc9d6bf0b63e2c34e815dd40595324975c8e47fcc29077948bf	3810	0.7985	0
Ленин/pss/том 40.txt	1	919397	84a6bf0c56b93619208dacbf2bcf34b389c99474a9428f73d21cbb9015a8a246	916133	a03be7cfee9cbd43480c18ce6cee6e74787406dc4e3f06d35b626af472489ba8	4622	0.8049	0
Ленин/pss/том 41.txt	1	1302837	05766f182406cce3a5e5deafd9201d9a2c7a205086150e8084a0d495a15b5fe5	1298825	4ada5d98c2c5cd6fda9f772fc4755a5d20a606b333941dab4afccf882f8ad769	6468	0.8067	0
Ленин/pss/том 42.txt	1	1088893	50c3f3cf76256fe92d8f805602ef4467423205a73b2511dcd4267dc518d1e3bc	1084697	fdac63ff95d5ebf5e3f40e4a07bdac499f62529283b7bc340d6ee5f3bc754bab	5842	0.7993	0
Ленин/pss/том 43.txt	1	955975	a9b138d74ea21abc2884ace161b0993ce0274ceee7d6efc640b2834a5c6a4c12	952592	485e776b320e29a0b2e41869cc6d0a3004e27fac1986f53334113eea76aa3eba	5007	0.8065	0
Ленин/pss/том 44.txt	1	1152501	ec34c1e72e2ce92e646591ce9be2af350e0a6dc1a9b1550f453e790f7e924137	1147772	d36f9af6e312c5a06281f79ae8f493b41e122f8968604030b40e3105b19df21f	8400	0.7951	0
Ленин/pss/том 45.txt	1	1256980	bdf03bfdcf61c1cb36c5ebed4f8dd500aecc73ea5c57a52e268126e3251e283d	1246265	2a785743010bcf6e230229bc610075f1699382113b105d1f4ba797376bff5718	8661	0.7942	0
Ленин/pss/том 46.txt	1	1158124	d765da4f94596a122f45f4e67affa13e2a4e807a0f2ac32b023c1cc4a67c55b4	1150226	d57bb2000975efee51a4e082a1456d5acd925f3eedff5dc8b0446c512197d6cd	8750	0.7484	0
Ленин/pss/том 47.txt	1	806698	c554811e406c72587f11dcb2cc5ade855099d2f17a2f5fb89566d0949082df07	801465	0439d81bc291afc339b85f8c7fe14223adcd037c27ff5e0a6ead2b93a16e9d0c	7005	0.7544	0
Ленин/pss/том 48.txt	1	917908	67eac8071e01788f5aa9d42794c00411051f1a3f6fba4f2dc9eabd4bc8facbdb	909710	7899d9816fbf4a33bae1c69d9a85cbaa93df1d4489db2def84e25bb9c792d10f	8595	0.7386	0
Ленин/pss/том 49.txt	1	1158068	cf348b08e9b6ca495222a469443051604fef60620345cef1d88ef08cdd9a9757	1149424	13d5199f2e251af519efce5b6bca424c7c2a3e4cb833c361183623eeb240552e	11669	0.7374	0
Ленин/pss/том 5.txt	1	1034002	edb6f13ffc1841da7b87bc2acd7e0adc18f63d90a25db80164c63de1c66f7088	1029207	c29ec5d4a56bf6818dab3710d3d73424cba7765d146dba9e67839e7e6d7e41e0	4411	0.7879	0
Ленин/pss/том 50.txt	1	909403	e03e31be92bfa7af0a899c5b8e445fbeb8430b439210a90f77ee571fefd98ef0	901743	0e941181c586bcf36beaea964c47a073e4ce06d0adb7804b19a7b002e4dd0ad6	11885	0.7545	0
Ленин/pss/том 51.txt	1	842077	76b948e909d2dae3a5356009f9d5363787ad7dcd1551130e59abd359882d4050	835371	d5914dadec4e6ba080a0beccbf36ee9b9bc7c484c35fa4d64def77e3563e8a0b	10853	0.7541	0
Ленин/pss/том 52.txt	1	830427	a31a89c0e59e85b51087b44cf4035666554d8f0fa623eabcb1f7189d6a7326d2	822350	83610891d30a3e77f7170ed1199a5f37f5ab2358f25443472dfe9beda0be3996	10344	0.748	0
Ленин/pss/том 53.txt	1	779776	9444f56e471d127dadafadcf0e5f5ef4d4980300de8d48355061c145c6c9e038	772656	a288fb5289addffdc01fa9d1bc943060c1b97e708b979ae96661d4f259016c6e	11015	0.741	0
Ленин/pss/том 54.txt	1	1383724	ad448c7a88bbf0a985f0adb503328c2e29a7dc3fdd4c9427d01528102035228d	1369385	0a131fffc17194aef98878b0c199f9797fb969ccbd6c2a2192ea9fd5e4327c43	16726	0.7482	0
Ленин/pss/том 55.txt	1	1034723	ee3fb3136ad0a365ad86451ae40481752f22d53abe1a95d98f776df0fa7ee60d	1026486	8af517df98b75f30e652822930911dbb9a57b73a3e9668fb1579df82ec149f92	9026	0.7437	0
Ленин/pss/том 6.txt	1	1199479	dd86f7d097ca73428e88ead1b0f18d5074ac54ec54d82246aad28759f54fe195	1193570	f4454e063907d04a40b684ad3aecaffe9c93dec3aca7732802b6605838c2930a	5341	0.7949	0
Ленин/pss/том 7.txt	1	1054232	371405e4d829e7c6bbb05bbdbe5a1674283a44a787a0e02c50867f7d58185e77	1048455	20e188132758ce66f60021df2b613fc2de98db66d6f2adef39f98e8a1e10ed9f	6143	0.7925	0
Ленин/pss/том 8.txt	1	1192880	d4a67b995c14710884d758cc6b43eac79f065c8fd38a8cf61a5d84eaed2ab79d	1186252	7b0ce36d522a5802d349d5d82eb47c0e53980cd5b3a1673e5737a4a5a61b19b3	5587	0.7878	0
Ленин/pss/том 9.txt	1	1014179	f869282c06601b4cf12287b3214a7476fb459273f6720c72a3bd907b4c981644	1009432	902893ad9500663a291d1b24577acf20c8f14cfe6c3eaf09d29418e8b25ca28b	4845	0.7912	0
Ленин/single/Карл Маркс (краткий биографический очерк с изложением марксизма).txt	1	81518	f54f5d55fde511702d3fc4db48d1525ec76859bdc65c83a7995b812041a08c8b	81526	abd0868792c00d9828c7bc24d191d2ec198713861b16499c132ec69bbdb8ad9e	76	0.8028	0
Ленин/single/Материализм и эмпириокритицизм.txt	1	861478	0b89dc98db3cbacec407fd78a2f10429f60a83845cb8ed177c632dc5e40b770e	857133	1de014b1e0678f6cfcac0277a56525225eea295d1c0ba8e108209059d5746a15	2400	0.8014	0
Ленин/single/Письма к Горькому.txt	1	146818	f641696263c08185b99dc57e8190beee32a45f25d1b22f37214fe339518db3ac	146632	34b679d18ed0411813e9fe261b705352cd6305a6e2c0a50eeecdbfdd594e7574	850	0.7011	0
Ленин/single/Три источника и три составных части марксизма.txt	1	10483	370ec6017a1a74ec786cd63772d9c59af711c5af347d11f2ef4c60c4244d84de	10491	8a2d127282f998b7656936e4dca8e84fa11badb8cd07e221ac979d29e6a76574	61	0.8394	0
Ленин/single/Философские тетради.txt	1	1132476	b6f20180996d60e5d73abbf3b9b1e2729fdabb0e8aca0235d25b8df70ef4a659	1066216	7f0b7c5a48642a930b9542e7732ecbaa6e579b026396716c3b6be435e2950a4b	7521	0.7842	0
МарксЭнгельс/Капитал.txt	1	5872214	f7002bb54d1656e9e5e3586b0655051c5bf3638b6f2cafaa9aee777f07b5e8d6	5852444	ef79b0ccd586289dcb269ffad555dcc708c032d0fe136839a2a6c5c05565db9f	14213	0.8119	1
МарксЭнгельс/Святое семейство.txt	1	1422865	baf41ca77b0194c25a02598d29d981a4e5fa3fa3d74933e0af0f43d6a6e08e45	1421878	30f6fa6dd6764186fc05a5e14e62a91e39458160ccf602b9d8198e8ca030303c	4153	0.8189	0
Мах/Анализ ощущений.txt	1	671858	2dbcaddc234595c6ca1b23bf18a25947fb3fdf31670507df2126466e1f509e86	597171	085170ce14b194a6abf2aae1b19cf71960e0ddbc5bbd78ecb3b6ea953bd74421	1933	0.8173	0
Плеханов/к вопросу о развитии монистического взгляда на историю.txt	1	668881	4d45514220aace0e03ba3528fc006651cb27e4460cef3edaa7802c20a67f1bf9	183684	5ff09c9e747f10e96e780cb9b982e6d336f8ea769302fe87b8e76a8667f20c25	551	0.8111	0
Пуанкаре/о науке.txt	1	1452465	4d0253cc5e6f2d5a9450196299f9da7a929cf182fddcf1125ab4e6384b08c083	1447492	556622fbaab5dd5cb8f69e0540ce11b621095df6a8dfb827efa2d64055595425	5151	0.8205	0
Фейербах/История философии.txt	1	2736904	54be59546a23479eb034dd7ecb223a9371b36e7a268d4846478e98d32a091e5e	2681584	56bd76044e5219219015c577a32ae40361f431ebcf86b42a55d685861eb2ce6b	5085	0.8102	0
Фейербах/Сущность христианства.txt	1	671363	3dc4733a0b0fef295a80bfd28c743642e2c2863117467ee6c274588bdb568869	668356	4459ab487e030baa9c43457bdf687732b63a0423c1c1774739579d2ff67f3811	1953	0.8192	0
Чернышевский/Антропологический принцип.txt	1	207814	2faeb6a6cf749109069dc6d64de56fa82ea9f60707cefa81f22aa9a7b9d345b6	207261	931808b6eed36dc11617701fff5d6f1c457beca5730e37266a875851707302bc	107	0.8261	0
