gpu_layers,threads,temperature,top_p,max_tokens,load_time,load_ram,load_vram,gen_time,tokens,speed,gen_ram,gen_vram,max_vram,error,response
0,4,0.7,0.9,50,2.179739236831665,5593.0703125,0.0,0,0,0,5593.0703125,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
0,4,0.7,0.9,100,2.005207061767578,5592.85546875,0.0,0,0,0,5592.85546875,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
0,6,0.5,0.7,50,1.9746136665344238,5593.51171875,0.0,0,0,0,5593.51953125,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
0,6,0.5,0.7,100,2.0000414848327637,5592.85546875,0.0,0,0,0,5592.85546875,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
0,6,0.5,0.8,50,1.9611010551452637,5593.3515625,0.0,0,0,0,5593.3515625,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
0,6,0.5,0.8,100,1.9570059776306152,5592.69140625,0.0,0,0,0,5592.71875,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
0,6,0.5,0.9,50,2.208299160003662,5593.0625,0.0,0,0,0,5593.0859375,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
0,6,0.5,0.9,100,1.9380683898925781,5592.84765625,0.0,0,0,0,5592.875,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
0,6,0.6,0.7,50,1.9427061080932617,5594.08984375,0.0,0,0,0,5594.08984375,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
0,6,0.6,0.7,100,1.9595205783843994,5592.7890625,0.0,0,0,0,5592.7890625,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
0,6,0.6,0.8,50,1.9789628982543945,5593.0078125,0.0,0,0,0,5593.0078125,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
0,6,0.6,0.8,100,1.9658575057983398,5592.609375,0.0,0,0,0,5592.609375,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
0,6,0.6,0.9,50,1.9804179668426514,5593.6875,0.0,0,0,0,5593.6875,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
0,6,0.6,0.9,100,2.134248971939087,5592.70703125,0.0,0,0,0,5592.70703125,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
0,6,0.7,0.7,50,1.96791672706604,5593.16796875,0.0,0,0,0,5593.1953125,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
0,6,0.7,0.7,100,1.9885222911834717,5592.42578125,0.0,0,0,0,5592.42578125,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
