line_no,news_id,source,title,old_decision,new_decision,new_category,new_risk_tier,changed,new_reason_codes
14602,3c8315a405406a6c7c306fd76bf759b0,TASS,Пострадавших при атаке беспилотника в Геленджике детей доставили в РДКБ в Москве,review,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
14605,0ccaefbff9f75c023a0609d9c0049c33,TASS,ВС РФ поразили используемую ВСУ транспортную и энергетическую инфраструктуру,hard_block,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
14606,141e67c3e586c0ac5f79cc3bcdebfedb,TASS,"ПВО РФ за сутки сбила снаряды Vampire, HIMARS и ракеты ""Фламинго""",hard_block,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
14701,560add3ff943e370134fc70000e360de,TASS,В храме Христа Спасителя отслужили панихиду по погибшим мирным гражданам Южной Осетии,review,hard_block,religion,red,True,manual_religion_hard_block
14702,b66b8251b3b2ef3ff5e43ade93c38dd3,TASS,"Директор ВДНХ рассказал, туристы из каких стран стали чаще посещать выставку",review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
14801,8300a208082ec870157bca0cb58d6154,TASS,В Геленджике и пригороде из-за работы ПВО закрыли пляжи,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
14901,465e20918b2911d646913dbdd73e081e,TASS,В Мариуполе из-за проблем со светом ввели веерные отключения электричества,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
14902,5999b54912c3f973f5969c735996a539,TASS,AP: Сенат утвердил Тодда Бланша на пост генпрокурора США,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
15001,0e538927912157d8238dbba23e5bcba9,TASS,Хуснуллин допустил введение льготной ипотеки для достройки домов в Крыму,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
15201,4b0099c60615d3e7b895cbac1d313e16,TASS,По части улиц Москвы открывают движение после проведения триатлона,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
15202,d436e71eabe5cf14bd891f3fb169890a,TASS,Проекты из Индии и стран Северной Африки представят на неделе интерьера и дизайна,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
15203,051e7d2749654381f0c57c77235aa4e4,TASS,МО показало кадры установления контроля над Ивановкой в Харьковской области,hard_block,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
15242,443155a7ba40473d8122e20877051001,TASS,"ВС РФ дроном ""Герань-4 сикер"" уничтожили РЛС ВСУ в Одесской области",hard_block,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
15301,0b54391de0cb145ac3e0ab722abcce31,TASS,В Оренбуржье держат на контроле ситуацию с голодовкой экс-сенатора Арашукова,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
15342,13e3c6fc5c00c8a86f0b263128b9cc4e,TASS,В Севастополе объявляли воздушную тревогу,review,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
15401,9baa32770e654a8776a6cb7a1cd4867c,TASS,"Глава ""Калашникова"" отметил колоссальный интерес в мире к российскому оружию",review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
15402,c29ef44559b7893a7ed3c39292cab696,TASS,В Томске завели дело из-за подтопления домов дождевыми и грунтовыми водами,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
15403,587068bd09d115b3498b1cdba992f3ab,TASS,Thairath: число погибших из-за стрельбы в школе в Таиланде возросло до девяти,allow,allow,,green,False,primary:social
15501,4788c27216d880281230da5fdaa87d3f,TASS,"Бутман допустил, что Долина станет ключевым педагогом в первом джазовом вузе РФ",review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
15502,a3d40cfc62662bdc8bb15c31b5061de1,TASS,Обнародованы кадры спасения сотрудников донецкого аэропорта от ВСУ в 2014 году,review,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
15503,1fb08760e4dfe86b7a814c44846ac8c8,TASS,"""Калашников"" не работает с недружественными странами",review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
