title,dropped_count
В Москве арестовали экс-главу и нынешнего руководителя производителя БПЛА,5
В районе Выхино-Жулебино построили детский сад на 300 мест,5
"Вучич назвал действия Европы против России ""гибридной войной""",5
"Вучич считает, что Европа стоит на пороге большой войны",5
В Подмосковье ищут участников драки на парковке торгового центра,5
Аналитик Кавулич: США не считают применение силы против Кубы предпочтительным вариантом,5
В Куйбышевский район Донецка вернули электроснабжение,4
"Глава ""Калашникова"" заявил о завершении госиспытаний боеприпаса ""Куб-2""",4
Аэропорт Внуково принимает и отправляет рейсы по согласованию,4
МИД РФ: санкции против России больно бьют по Европе,4
Овечкин и боец UFC Магомедов произвели символический удар перед игрой РПЛ,3
"Хуснуллин напомнил, что первый День строителя отмечался в ""Лужниках""",3
"МИД РФ: Европа ставит на кон судьбу своего народа, потворствуя Киеву",3
"Объявляйте о выходе из состава Украины! <br/> Почему в Беловежье можно собраться и отделиться, а в Крыму нельзя? ///////////////////////////////////////////////",3
"Сообщение от Вячеслав Старухин Каким людям? Крымским татарам, которые мечтают убрать всех русских из Крыма? К сожалению, не убрать- а вырезать! демография Крыма",3
"Ласточка!!!Ты о чём говоришь?Какая нахер независимость??!!!!! <br/> Там власть,жирный кусок,флот,границы.Ты где летаешь?!!!О какой любви речь? <br/> Этносостав ",3
Комитет по нацбезопасности Ирана одобрил новый законопроект по управлению Ормузом,2
Израиль отверг план Совета мира по Газе,2
"Цитата(Naoborot @ 16.2.2014, 17:02) гаплогруппы посмотрите) <br/> у армян и русских одинаковая",2
Лушников: вертолеты более эффективны в борьбе с БПЛА над территорией РФ,2
Во Владимирской области объявили беспилотную опасность,1
"Фелипе Мело: Неймар может перейти в ""Интер Майами"" к Месси и Суаресу",1
В Забайкалье нашли тело одного из утонувших на реке Ингода подростков,1
"Депутат Вольфсон объяснил, почему не стоит менять семейную ипотеку",1
"Татьяна, национальную самоидентичность пока ещё никто не отменял",1
НАРОДНЫЙ СХОД ПРОТИВ МИГРАНТСКОЙ ОККУПАЦИИ НОВОСИБИРСКА,1
"Егор, моя страна мононациональна!!! Хватит лгать про многонациональность! Страна в которой 80% одной нации- мононациональна! И с чего вдруг Россия общая? Значит",1
"В Российской Федерации проживает 40 коренных малочисленных народов Севера, Сибири и Дальнего Востока, общая численность которых составляет около 244 тысяч челов",1
"Сообщение от iorgens <b>беларусы</b> славяне так-то,а русские-угро финны(мордва)плюс азиатские крови о блин",1
"""Страна"": сотрудники военкомата разбили голову украинцу при попытке мобилизации",1
Юношеская сборная России по дзюдо готовится в Бразилии к первенству мира,1
В Курской области поднявшему заминированную коробку оторвало две ноги и руку,1
Лушников: вертолеты эффективнее дронов в борьбе с БПЛА над территорией РФ,1
"Ответы Невест) <br/> 5) Нация Татарка) Возраст 17 лет) Вес 55 рост 165) <br/> 9армянка татарка вес 50 рост 159 16 лет <br/> 3)<b>Азербайджанка</b>,15 лет,53 кг,",1
"Несомненно, если нам не нравится, что узбеки",1
